config,distribution,size,gap_pct,time_min
BeamSearch_None,uniform,100,31.9251,0.01
BeamSearch_None,uniform,500,35.17,0.01
BeamSearch_None,uniform,1000,34.8384,0.01
BeamSearch_None,uniform,5000,33.8425,0.03
BeamSearch_None,uniform,10000,31.3708,0.07
BeamSearch_None,clustered,100,32.2998,0.01
BeamSearch_None,clustered,500,36.5609,0.01
BeamSearch_None,clustered,1000,35.7418,0.01
BeamSearch_None,clustered,5000,34.5396,0.03
BeamSearch_None,clustered,10000,31.3787,0.07
BeamSearch_None,explosion,100,33.5199,0.01
BeamSearch_None,explosion,500,37.8329,0.01
BeamSearch_None,explosion,1000,37.286,0.01
BeamSearch_None,explosion,5000,35.4945,0.03
BeamSearch_None,explosion,10000,27.4643,0.07
BeamSearch_None,implosion,100,31.4331,0.01
BeamSearch_None,implosion,500,34.7543,0.01
BeamSearch_None,implosion,1000,34.7975,0.01
BeamSearch_None,implosion,5000,34.9523,0.03
BeamSearch_None,implosion,10000,31.0611,0.07
BeamSearch_Neural-RC,uniform,100,4.2148,0.49
BeamSearch_Neural-RC,uniform,500,8.3475,2.01
BeamSearch_Neural-RC,uniform,1000,13.2028,3.26
BeamSearch_Neural-RC,uniform,5000,18.8246,2.25
BeamSearch_Neural-RC,uniform,10000,19.0345,3.78
BeamSearch_Neural-RC,clustered,100,3.1179,0.48
BeamSearch_Neural-RC,clustered,500,7.0031,2.02
BeamSearch_Neural-RC,clustered,1000,11.1479,3.27
BeamSearch_Neural-RC,clustered,5000,17.0085,2.25
BeamSearch_Neural-RC,clustered,10000,17.5179,3.79
BeamSearch_Neural-RC,explosion,100,4.659,0.48
BeamSearch_Neural-RC,explosion,500,8.4863,2.03
BeamSearch_Neural-RC,explosion,1000,13.2698,3.27
BeamSearch_Neural-RC,explosion,5000,18.363,2.25
BeamSearch_Neural-RC,explosion,10000,13.6917,3.8
BeamSearch_Neural-RC,implosion,100,4.2245,0.48
BeamSearch_Neural-RC,implosion,500,8.239,2.03
BeamSearch_Neural-RC,implosion,1000,12.993,3.28
BeamSearch_Neural-RC,implosion,5000,20.1418,2.24
BeamSearch_Neural-RC,implosion,10000,19.6599,3.79
BeamSearch_BeamSearch-RC,uniform,100,67.7496,0.07
BeamSearch_BeamSearch-RC,uniform,500,118.6847,0.15
BeamSearch_BeamSearch-RC,uniform,1000,105.7041,0.16
BeamSearch_BeamSearch-RC,uniform,5000,141.4758,0.15
BeamSearch_BeamSearch-RC,uniform,10000,158.4518,0.24
BeamSearch_BeamSearch-RC,clustered,100,58.6795,0.06
BeamSearch_BeamSearch-RC,clustered,500,112.1443,0.15
BeamSearch_BeamSearch-RC,clustered,1000,100.458,0.16
BeamSearch_BeamSearch-RC,clustered,5000,130.4482,0.15
BeamSearch_BeamSearch-RC,clustered,10000,151.5053,0.24
BeamSearch_BeamSearch-RC,explosion,100,67.8691,0.07
BeamSearch_BeamSearch-RC,explosion,500,117.5301,0.15
BeamSearch_BeamSearch-RC,explosion,1000,102.256,0.16
BeamSearch_BeamSearch-RC,explosion,5000,137.8286,0.15
BeamSearch_BeamSearch-RC,explosion,10000,145.3995,0.24
BeamSearch_BeamSearch-RC,implosion,100,66.2063,0.06
BeamSearch_BeamSearch-RC,implosion,500,113.9527,0.15
BeamSearch_BeamSearch-RC,implosion,1000,100.1401,0.16
BeamSearch_BeamSearch-RC,implosion,5000,140.4972,0.15
BeamSearch_BeamSearch-RC,implosion,10000,154.4507,0.24
knn-BeamSearch_None,uniform,100,31.9251,0.01
knn-BeamSearch_None,uniform,500,44.1032,0.01
knn-BeamSearch_None,uniform,1000,57.7835,0.01
knn-BeamSearch_None,uniform,5000,126.5954,0.03
knn-BeamSearch_None,uniform,10000,184.2938,0.07
knn-BeamSearch_None,clustered,100,32.2998,0.01
knn-BeamSearch_None,clustered,500,89.5507,0.01
knn-BeamSearch_None,clustered,1000,108.0897,0.01
knn-BeamSearch_None,clustered,5000,229.5565,0.03
knn-BeamSearch_None,clustered,10000,250.4203,0.07
knn-BeamSearch_None,explosion,100,33.5199,0.01
knn-BeamSearch_None,explosion,500,53.1663,0.01
knn-BeamSearch_None,explosion,1000,74.7058,0.01
knn-BeamSearch_None,explosion,5000,184.4328,0.03
knn-BeamSearch_None,explosion,10000,217.5677,0.08
knn-BeamSearch_None,implosion,100,31.4331,0.01
knn-BeamSearch_None,implosion,500,96.3985,0.01
knn-BeamSearch_None,implosion,1000,134.4328,0.01
knn-BeamSearch_None,implosion,5000,225.7772,0.03
knn-BeamSearch_None,implosion,10000,262.5647,0.07
knn-BeamSearch_Neural-RC,uniform,100,4.2148,0.5
knn-BeamSearch_Neural-RC,uniform,500,8.124,2.05
knn-BeamSearch_Neural-RC,uniform,1000,13.5651,3.27
knn-BeamSearch_Neural-RC,uniform,5000,21.9514,2.28
knn-BeamSearch_Neural-RC,uniform,10000,33.8577,3.81
knn-BeamSearch_Neural-RC,clustered,100,3.1179,0.5
knn-BeamSearch_Neural-RC,clustered,500,7.9994,2.06
knn-BeamSearch_Neural-RC,clustered,1000,14.0403,3.28
knn-BeamSearch_Neural-RC,clustered,5000,31.5421,2.28
knn-BeamSearch_Neural-RC,clustered,10000,47.4006,3.81
knn-BeamSearch_Neural-RC,explosion,100,4.659,0.5
knn-BeamSearch_Neural-RC,explosion,500,8.6596,2.05
knn-BeamSearch_Neural-RC,explosion,1000,13.6267,3.28
knn-BeamSearch_Neural-RC,explosion,5000,27.7634,2.28
knn-BeamSearch_Neural-RC,explosion,10000,38.129,3.82
knn-BeamSearch_Neural-RC,implosion,100,4.2245,0.5
knn-BeamSearch_Neural-RC,implosion,500,9.63,2.06
knn-BeamSearch_Neural-RC,implosion,1000,17.7526,3.29
knn-BeamSearch_Neural-RC,implosion,5000,33.663,2.28
knn-BeamSearch_Neural-RC,implosion,10000,50.3486,3.81
knn-BeamSearch_BeamSearch-RC,uniform,100,67.7496,0.07
knn-BeamSearch_BeamSearch-RC,uniform,500,117.5051,0.16
knn-BeamSearch_BeamSearch-RC,uniform,1000,106.536,0.17
knn-BeamSearch_BeamSearch-RC,uniform,5000,148.372,0.16
knn-BeamSearch_BeamSearch-RC,uniform,10000,190.2045,0.25
knn-BeamSearch_BeamSearch-RC,clustered,100,58.6795,0.07
knn-BeamSearch_BeamSearch-RC,clustered,500,114.7747,0.16
knn-BeamSearch_BeamSearch-RC,clustered,1000,105.1272,0.16
knn-BeamSearch_BeamSearch-RC,clustered,5000,151.1943,0.16
knn-BeamSearch_BeamSearch-RC,clustered,10000,212.0364,0.25
knn-BeamSearch_BeamSearch-RC,explosion,100,67.8691,0.07
knn-BeamSearch_BeamSearch-RC,explosion,500,116.87,0.16
knn-BeamSearch_BeamSearch-RC,explosion,1000,104.1747,0.16
knn-BeamSearch_BeamSearch-RC,explosion,5000,154.2164,0.16
knn-BeamSearch_BeamSearch-RC,explosion,10000,194.5488,0.25
knn-BeamSearch_BeamSearch-RC,implosion,100,66.2063,0.07
knn-BeamSearch_BeamSearch-RC,implosion,500,116.1554,0.16
knn-BeamSearch_BeamSearch-RC,implosion,1000,106.8364,0.16
knn-BeamSearch_BeamSearch-RC,implosion,5000,167.3174,0.16
knn-BeamSearch_BeamSearch-RC,implosion,10000,224.2023,0.25
Neural_None,uniform,100,0.1184,0.08
Neural_None,uniform,500,0.99,0.59
Neural_None,uniform,1000,1.3022,1.15
Neural_None,uniform,5000,5.3182,1.01
Neural_None,uniform,10000,6.7818,2.06
Neural_None,clustered,100,1.3223,0.07
Neural_None,clustered,500,3.136,0.59
Neural_None,clustered,1000,4.8158,1.15
Neural_None,clustered,5000,8.9588,1.01
Neural_None,clustered,10000,9.3786,2.06
Neural_None,explosion,100,0.4076,0.07
Neural_None,explosion,500,2.3851,0.59
Neural_None,explosion,1000,3.623,1.15
Neural_None,explosion,5000,9.673,1.01
Neural_None,explosion,10000,11.1803,2.07
Neural_None,implosion,100,0.8244,0.07
Neural_None,implosion,500,4.0623,0.59
Neural_None,implosion,1000,4.0728,1.15
Neural_None,implosion,5000,6.1633,1.02
Neural_None,implosion,10000,7.4724,2.06
Neural_Neural-RC,uniform,100,0.0614,0.57
Neural_Neural-RC,uniform,500,0.597,2.64
Neural_Neural-RC,uniform,1000,0.5805,4.41
Neural_Neural-RC,uniform,5000,2.7679,3.29
Neural_Neural-RC,uniform,10000,2.4827,5.85
Neural_Neural-RC,clustered,100,0.4617,0.57
Neural_Neural-RC,clustered,500,1.4164,2.64
Neural_Neural-RC,clustered,1000,2.2373,4.42
Neural_Neural-RC,clustered,5000,4.2693,3.3
Neural_Neural-RC,clustered,10000,3.4952,5.86
Neural_Neural-RC,explosion,100,0.1794,0.57
Neural_Neural-RC,explosion,500,1.1909,2.64
Neural_Neural-RC,explosion,1000,1.5227,4.41
Neural_Neural-RC,explosion,5000,4.5501,3.29
Neural_Neural-RC,explosion,10000,4.7929,5.85
Neural_Neural-RC,implosion,100,0.2172,0.57
Neural_Neural-RC,implosion,500,1.5977,2.64
Neural_Neural-RC,implosion,1000,1.6391,4.42
Neural_Neural-RC,implosion,5000,3.1621,3.3
Neural_Neural-RC,implosion,10000,2.7794,5.85
Neural_BeamSearch-RC,uniform,100,67.3454,0.14
Neural_BeamSearch-RC,uniform,500,114.025,0.73
Neural_BeamSearch-RC,uniform,1000,94.4396,1.3
Neural_BeamSearch-RC,uniform,5000,119.8206,1.14
Neural_BeamSearch-RC,uniform,10000,130.5099,2.24
Neural_BeamSearch-RC,clustered,100,59.2962,0.13
Neural_BeamSearch-RC,clustered,500,108.5451,0.73
Neural_BeamSearch-RC,clustered,1000,89.5612,1.3
Neural_BeamSearch-RC,clustered,5000,113.7414,1.13
Neural_BeamSearch-RC,clustered,10000,128.4485,2.23
Neural_BeamSearch-RC,explosion,100,69.2353,0.13
Neural_BeamSearch-RC,explosion,500,111.135,0.73
Neural_BeamSearch-RC,explosion,1000,91.3591,1.3
Neural_BeamSearch-RC,explosion,5000,118.5292,1.13
Neural_BeamSearch-RC,explosion,10000,127.9134,2.23
Neural_BeamSearch-RC,implosion,100,66.3569,0.13
Neural_BeamSearch-RC,implosion,500,110.1008,0.73
Neural_BeamSearch-RC,implosion,1000,88.6302,1.3
Neural_BeamSearch-RC,implosion,5000,117.7794,1.14
Neural_BeamSearch-RC,implosion,10000,124.7971,2.24
test_pretrained_synthetic,uniform,100,0.0614,0.57
test_pretrained_synthetic,uniform,500,0.597,2.64
test_pretrained_synthetic,uniform,1000,0.5805,4.42
test_pretrained_synthetic,uniform,5000,2.7679,3.28
test_pretrained_synthetic,uniform,10000,2.4829,5.84
test_pretrained_synthetic,clustered,100,0.4617,0.56
test_pretrained_synthetic,clustered,500,1.4164,2.64
test_pretrained_synthetic,clustered,1000,2.2373,4.41
test_pretrained_synthetic,clustered,5000,4.2712,3.28
test_pretrained_synthetic,clustered,10000,3.5194,5.85
test_pretrained_synthetic,explosion,100,0.1794,0.55
test_pretrained_synthetic,explosion,500,1.1909,2.61
test_pretrained_synthetic,explosion,1000,1.5227,4.4
test_pretrained_synthetic,explosion,5000,4.5452,3.24
test_pretrained_synthetic,explosion,10000,4.7428,5.79
test_pretrained_synthetic,implosion,100,0.2172,0.55
test_pretrained_synthetic,implosion,500,1.5977,2.6
test_pretrained_synthetic,implosion,1000,1.6391,4.41
test_pretrained_synthetic,implosion,5000,3.1476,3.24
test_pretrained_synthetic,implosion,10000,2.7202,5.79
test_repro_synthetic,uniform,100,0.0677,0.55
test_repro_synthetic,uniform,500,0.5217,2.61
test_repro_synthetic,uniform,1000,0.6745,4.41
test_repro_synthetic,uniform,5000,3.0658,3.25
test_repro_synthetic,uniform,10000,2.406,5.78
test_repro_synthetic,clustered,100,0.5757,0.57
test_repro_synthetic,clustered,500,1.4534,2.61
test_repro_synthetic,clustered,1000,2.2826,4.4
test_repro_synthetic,clustered,5000,5.0376,3.23
test_repro_synthetic,clustered,10000,4.6304,5.78
test_repro_synthetic,explosion,100,0.1593,0.55
test_repro_synthetic,explosion,500,1.2138,2.6
test_repro_synthetic,explosion,1000,1.7743,4.4
test_repro_synthetic,explosion,5000,5.2716,3.24
test_repro_synthetic,explosion,10000,5.2427,5.79
test_repro_synthetic,implosion,100,0.2578,0.55
test_repro_synthetic,implosion,500,1.6781,2.61
test_repro_synthetic,implosion,1000,1.7977,4.41
test_repro_synthetic,implosion,5000,3.5372,3.25
test_repro_synthetic,implosion,10000,3.1254,5.8
