config,size,gap_pct,time_min,stage_1,stage_2
Neural_None,100,0.6682,0.0725,Neural,None
Neural_None,500,2.6433,0.5900,Neural,None
Neural_None,1000,3.4535,1.1500,Neural,None
Neural_None,5000,7.5283,1.0125,Neural,None
Neural_None,10000,8.7033,2.0625,Neural,None
Neural_Neural-RC,100,0.2299,0.5700,Neural,Neural-RC
Neural_Neural-RC,500,1.2005,2.6400,Neural,Neural-RC
Neural_Neural-RC,1000,1.4949,4.4150,Neural,Neural-RC
Neural_Neural-RC,5000,3.6873,3.2950,Neural,Neural-RC
Neural_Neural-RC,10000,3.3876,5.8525,Neural,Neural-RC
Neural_BeamSearch-RC,100,65.5584,0.1325,Neural,BeamSearch-RC
Neural_BeamSearch-RC,500,110.9515,0.7300,Neural,BeamSearch-RC
Neural_BeamSearch-RC,1000,90.9975,1.3000,Neural,BeamSearch-RC
Neural_BeamSearch-RC,5000,117.4676,1.1350,Neural,BeamSearch-RC
Neural_BeamSearch-RC,10000,127.9172,2.2350,Neural,BeamSearch-RC
BeamSearch_None,100,32.2945,0.0100,BeamSearch,None
BeamSearch_None,500,36.0795,0.0100,BeamSearch,None
BeamSearch_None,1000,35.6659,0.0100,BeamSearch,None
BeamSearch_None,5000,34.7072,0.0300,BeamSearch,None
BeamSearch_None,10000,30.3187,0.0700,BeamSearch,None
BeamSearch_Neural-RC,100,4.0541,0.4825,BeamSearch,Neural-RC
BeamSearch_Neural-RC,500,8.0190,2.0225,BeamSearch,Neural-RC
BeamSearch_Neural-RC,1000,12.6534,3.2700,BeamSearch,Neural-RC
BeamSearch_Neural-RC,5000,18.5845,2.2475,BeamSearch,Neural-RC
BeamSearch_Neural-RC,10000,17.4760,3.7900,BeamSearch,Neural-RC
BeamSearch_BeamSearch-RC,100,65.1261,0.0650,BeamSearch,BeamSearch-RC
BeamSearch_BeamSearch-RC,500,115.5780,0.1500,BeamSearch,BeamSearch-RC
BeamSearch_BeamSearch-RC,1000,102.1395,0.1600,BeamSearch,BeamSearch-RC
BeamSearch_BeamSearch-RC,5000,137.5625,0.1500,BeamSearch,BeamSearch-RC
BeamSearch_BeamSearch-RC,10000,152.4518,0.2400,BeamSearch,BeamSearch-RC
knn-BeamSearch_None,100,32.2945,0.0100,knn-BeamSearch,None
knn-BeamSearch_None,500,70.8047,0.0100,knn-BeamSearch,None
knn-BeamSearch_None,1000,93.7529,0.0100,knn-BeamSearch,None
knn-BeamSearch_None,5000,191.5905,0.0300,knn-BeamSearch,None
knn-BeamSearch_None,10000,228.7116,0.0725,knn-BeamSearch,None
knn-BeamSearch_Neural-RC,100,4.0541,0.5000,knn-BeamSearch,Neural-RC
knn-BeamSearch_Neural-RC,500,8.6032,2.0550,knn-BeamSearch,Neural-RC
knn-BeamSearch_Neural-RC,1000,14.7462,3.2800,knn-BeamSearch,Neural-RC
knn-BeamSearch_Neural-RC,5000,28.7300,2.2800,knn-BeamSearch,Neural-RC
knn-BeamSearch_Neural-RC,10000,42.4340,3.8125,knn-BeamSearch,Neural-RC
knn-BeamSearch_BeamSearch-RC,100,65.1261,0.0700,knn-BeamSearch,BeamSearch-RC
knn-BeamSearch_BeamSearch-RC,500,116.3263,0.1600,knn-BeamSearch,BeamSearch-RC
knn-BeamSearch_BeamSearch-RC,1000,105.6686,0.1625,knn-BeamSearch,BeamSearch-RC
knn-BeamSearch_BeamSearch-RC,5000,155.2750,0.1600,knn-BeamSearch,BeamSearch-RC
knn-BeamSearch_BeamSearch-RC,10000,205.2480,0.2500,knn-BeamSearch,BeamSearch-RC
